SampleAlias	SampleAccession	RunAccession	ExperimentAccession
158L16	ERS3135444	ERR3148016	ERX3176982
166L16	ERS3135445	ERR3148017	ERX3176983
193R16	ERS3135446	ERR3148018	ERX3176984
232R4	ERS3135447	ERR3148019	ERX3176985
239R4	ERS3135448	ERR3148020	ERX3176986
263L4	ERS3135449	ERR3148021	ERX3176987
280R4	ERS3135450	ERR3148022	ERX3176988
141R16	ERS3135451	ERR3148023	ERX3176989
154L16	ERS3135452	ERR3148024	ERX3176990
173R16	ERS3135453	ERR3148025	ERX3176991
174L16	ERS3135454	ERR3148026	ERX3176992
174R16	ERS3135455	ERR3148027	ERX3176993
181L4	ERS3135456	ERR3148028	ERX3176994
243L16	ERS3135457	ERR3148029	ERX3176995
243R4	ERS3135458	ERR3148030	ERX3176996
243R16	ERS3135459	ERR3148031	ERX3176997
248R4	ERS3135460	ERR3148032	ERX3176998
258R4	ERS3135461	ERR3148033	ERX3176999
259L16	ERS3135462	ERR3148034	ERX3177000
259R16	ERS3135463	ERR3148035	ERX3177001
264L16	ERS3135465	ERR3148047	ERX3177013
277R16	ERS3135477	ERR3148048	ERX3177014
278L16	ERS3135478	ERR3148049	ERX3177015
278R4	ERS3135479	ERR3148050	ERX3177016
278R16	ERS3135480	ERR3148051	ERX3177017
281R4	ERS3135497	ERR3148052	ERX3177018
283R16	ERS3135498	ERR3148053	ERX3177019
288R4	ERS3135499	ERR3148054	ERX3177020
