Project	Sample	Name	Instrument	Insert Size	Library source	Library selection	Library Strategy	Fq read1 name	Fq read2 name
toCreate	toCreate	158L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	158L16_1.fq.gz	158L16_2.fq.gz
toCreate	toCreate	166L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	166L16_1.fq.gz	166L16_2.fq.gz
toCreate	toCreate	193R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	193R16_1.fq.gz	193R16_2.fq.gz
toCreate	toCreate	232R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	232R4_1.fq.gz	232R4_2.fq.gz
toCreate	toCreate	239R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	239R4_1.fq.gz	239R4_2.fq.gz
toCreate	toCreate	263L4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	263L4_1.fq.gz	263L4_2.fq.gz
toCreate	toCreate	280R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	280R4_1.fq.gz	280R4_2.fq.gz
toCreate	toCreate	141R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	141R16_1.fq.gz	141R16_2.fq.gz
toCreate	toCreate	154L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	154L16_1.fq.gz	154L16_2.fq.gz
toCreate	toCreate	173R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	173R16_1.fq.gz	173R16_2.fq.gz
toCreate	toCreate	174L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	174L16_1.fq.gz	174L16_2.fq.gz
toCreate	toCreate	174R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	174R16_1.fq.gz	174R16_2.fq.gz
toCreate	toCreate	181L4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	181L4_1.fq.gz	181L4_2.fq.gz
toCreate	toCreate	243L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	243L16_1.fq.gz	243L16_2.fq.gz
toCreate	toCreate	243R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	243R4_1.fq.gz	243R4_2.fq.gz
toCreate	toCreate	243R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	243R16_1.fq.gz	243R16_2.fq.gz
toCreate	toCreate	248R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	248R4_1.fq.gz	248R4_2.fq.gz
toCreate	toCreate	258R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	258R4_1.fq.gz	258R4_2.fq.gz
toCreate	toCreate	259L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	259L16_1.fq.gz	259L16_2.fq.gz
toCreate	toCreate	259R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	259R16_1.fq.gz	259R16_2.fq.gz
toCreate	toCreate	264L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	264L16_1.fq.gz	264L16_2.fq.gz
toCreate	toCreate	277R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	277R16_1.fq.gz	277R16_2.fq.gz
toCreate	toCreate	278L16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	278L16_1.fq.gz	278L16_2.fq.gz
toCreate	toCreate	278R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	278R4_1.fq.gz	278R4_2.fq.gz
toCreate	toCreate	278R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	278R16_1.fq.gz	278R16_2.fq.gz
toCreate	toCreate	281R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	281R4_1.fq.gz	281R4_2.fq.gz
toCreate	toCreate	283R16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	283R16_1.fq.gz	283R16_2.fq.gz
toCreate	toCreate	288R4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	288R4_1.fq.gz	288R4_2.fq.gz
