Project Accession	Sample Accession	Name	Instrument	Insert Size	Library source	Library selection	Library Strategy	Fq read1 name	Fq read2 name
PRJEB29585	ERS2986265	PAV1	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV1_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV1_2.fq.gz
PRJEB29585	ERS2986266	PAV2	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV2_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV2_2.fq.gz
PRJEB29585	ERS2986267	PAV4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV4_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV4_2.fq.gz
PRJEB29585	ERS2986268	PAV5	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV5_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV5_2.fq.gz
PRJEB29585	ERS2986269	PAV6	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV6_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV6_2.fq.gz
PRJEB29585	ERS2986270	PAV6M	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV6M_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV6M_2.fq.gz
PRJEB29585	ERS2986271	PAV7	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV7_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV7_2.fq.gz
PRJEB29585	ERS2986272	PAV8	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV8_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV8_2.fq.gz
PRJEB29585	ERS2986273	PAV9	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV9_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV9_2.fq.gz
PRJEB29585	ERS2986274	PAV11	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV11_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV11_2.fq.gz
