Group	rl5a	rl6	rl12	rl13	ul1	ul9	ul11	ul20	ul73	ul74	ul120	ul139	ul146	
G9						0.382845188285								
G7							0.0116881810737	0.492820750347				0.00183079927465		
G6			0.730548150019	0.341717631525	0.403587673568	0.617154811715	0.987361989313							
G5	0.000350877192982				0.000619950343423			0.507179249653		0.3910843107				
G4					0.592733011273					0.00101440225683		0.318820616543		
G3														
G2			0.000429996873667				0.000949829613211					0.679348584182		
G1	0.999649122807	1.0			0.00208825378837				0.434885931559					
G1C														
G1B														
G1A										0.607901287043				
G8														
G3A														
G3B											0.00179064615011			
G14													0.477643136647	
G13														
G12													0.0288399845682	
G11														
G10				0.000500610607437	0.000971111027459								0.493516878785	
G4A			0.00074828637446	0.000685409013488										
G4B			0.268273566733	0.657096348854							0.463240159034			
G4D									0.565114068441					
G2B											0.00232783999514			
G2A											0.532641354821			
