WT0049_S23_1.fastq	WTCG_270219_1_1.fastq
WT0049_S23_2.fastq	WTCG_270219_1_2.fastq
WT0050_S33_1.fastq	WTCG_270219_2_1.fastq
WT0050_S33_2.fastq	WTCG_270219_2_2.fastq
WT0051_S35_1.fastq	WTCG_270219_3_1.fastq
WT0051_S35_2.fastq	WTCG_270219_3_2.fastq
WT0052_S36_1.fastq	WTCG_270219_4_1.fastq
WT0052_S36_2.fastq	WTCG_270219_4_2.fastq
WT0053_S21_1.fastq	WTCG_270219_5_1.fastq
WT0053_S21_2.fastq	WTCG_270219_5_2.fastq
WT0054_S31_1.fastq	WTCG_270219_6_1.fastq
WT0054_S31_2.fastq	WTCG_270219_6_2.fastq
WT0055_S39_1.fastq	WTCG_270219_7_1.fastq
WT0055_S39_2.fastq	WTCG_270219_7_2.fastq
WT0056_S43_1.fastq	WTCG_270219_8_1.fastq
WT0056_S43_2.fastq	WTCG_270219_8_2.fastq
WT0057_S38_1.fastq	WTCG_270219_9_1.fastq
WT0057_S38_2.fastq	WTCG_270219_9_2.fastq
WT0058_S40_1.fastq	WTCG_270219_10_1.fastq
WT0058_S40_2.fastq	WTCG_270219_10_2.fastq
WT0059_S30_1.fastq	WTCG_270219_11_1.fastq
WT0059_S30_2.fastq	WTCG_270219_11_2.fastq
WT0060_S3_1.fastq	WTCG_270219_12_1.fastq
WT0060_S3_2.fastq	WTCG_270219_12_2.fastq
WT0061_S1_1.fastq	WTCG_270219_13_1.fastq
WT0061_S1_2.fastq	WTCG_270219_13_2.fastq
WT0062_S5_1.fastq	WTCG_270219_14_1.fastq
WT0062_S5_2.fastq	WTCG_270219_14_2.fastq
WT0063_S19_1.fastq	WTCG_270219_15_1.fastq
WT0063_S19_2.fastq	WTCG_270219_15_2.fastq
WT0064_S4_1.fastq	WTCG_270219_16_1.fastq
WT0064_S4_2.fastq	WTCG_270219_16_2.fastq
WT0065_S20_1.fastq	WTCG_270219_17_1.fastq
WT0065_S20_2.fastq	WTCG_270219_17_2.fastq
WT0066_S47_1.fastq	WTCG_270219_18_1.fastq
WT0066_S47_2.fastq	WTCG_270219_18_2.fastq
WT0067_S32_1.fastq	WTCG_270219_19_1.fastq
WT0067_S32_2.fastq	WTCG_270219_19_2.fastq
WT0068_S44_1.fastq	WTCG_270219_20_1.fastq
WT0068_S44_2.fastq	WTCG_270219_20_2.fastq
WT0072_S27_1.fastq	WTCG_270219_21_1.fastq
WT0072_S27_2.fastq	WTCG_270219_21_2.fastq
WT0073_S46_1.fastq	WTCG_270219_22_1.fastq
WT0073_S46_2.fastq	WTCG_270219_22_2.fastq
WT0074_S2_1.fastq	WTCG_270219_23_1.fastq
WT0074_S2_2.fastq	WTCG_270219_23_2.fastq
WT0077_S26_1.fastq	WTCG_270219_24_1.fastq
WT0077_S26_2.fastq	WTCG_270219_24_2.fastq
WT0078_S18_1.fastq	WTCG_270219_25_1.fastq
WT0078_S18_2.fastq	WTCG_270219_25_2.fastq
WT0079_S22_1.fastq	WTCG_270219_26_1.fastq
WT0079_S22_2.fastq	WTCG_270219_26_2.fastq
WT0080_S41_1.fastq	WTCG_270219_27_1.fastq
WT0080_S41_2.fastq	WTCG_270219_27_2.fastq
WT0081_S34_1.fastq	WTCG_270219_28_1.fastq
WT0081_S34_2.fastq	WTCG_270219_28_2.fastq
WT0082_S28_1.fastq	WTCG_270219_29_1.fastq
WT0082_S28_2.fastq	WTCG_270219_29_2.fastq
WT0083_S17_1.fastq	WTCG_270219_30_1.fastq
WT0083_S17_2.fastq	WTCG_270219_30_2.fastq
WT0084_S45_1.fastq	WTCG_270219_31_1.fastq
WT0084_S45_2.fastq	WTCG_270219_31_2.fastq
WT0085_S37_1.fastq	WTCG_270219_32_1.fastq
WT0085_S37_2.fastq	WTCG_270219_32_2.fastq
WT0086_S24_1.fastq	WTCG_270219_33_1.fastq
WT0086_S24_2.fastq	WTCG_270219_33_2.fastq
WT0087_S25_1.fastq	WTCG_270219_34_1.fastq
WT0087_S25_2.fastq	WTCG_270219_34_2.fastq
WT0088_S42_1.fastq	WTCG_270219_35_1.fastq
WT0088_S42_2.fastq	WTCG_270219_35_2.fastq
WT0089_S29_1.fastq	WTCG_270219_36_1.fastq
WT0089_S29_2.fastq	WTCG_270219_36_2.fastq
WT0090_S48_1.fastq	WTCG_270219_37_1.fastq
WT0090_S48_2.fastq	WTCG_270219_37_2.fastq
WT0091_S6_1.fastq	WTCG_270219_38_1.fastq
WT0091_S6_2.fastq	WTCG_270219_38_2.fastq
WT0092_S10_1.fastq	WTCG_270219_39_1.fastq
WT0092_S10_2.fastq	WTCG_270219_39_2.fastq
WT0093_S9_1.fastq	WTCG_270219_40_1.fastq
WT0093_S9_2.fastq	WTCG_270219_40_2.fastq
WT0094_S7_1.fastq	WTCG_270219_41_1.fastq
WT0094_S7_2.fastq	WTCG_270219_41_2.fastq
WT0095_S11_1.fastq	WTCG_270219_42_1.fastq
WT0095_S11_2.fastq	WTCG_270219_42_2.fastq
WT0096_S8_1.fastq	WTCG_270219_43_1.fastq
WT0096_S8_2.fastq	WTCG_270219_43_2.fastq
