Statistics	WTCG_270219_3	WTCG_270219_39	WTCG_270219_26	WTCG_270219_19	WTCG_270219_21	WTCG_270219_40	WTCG_270219_11	WTCG_270219_20	WTCG_270219_6	WTCG_270219_43	WTCG_270219_7	WTCG_270219_29	WTCG_270219_16	WTCG_270219_8	WTCG_270219_23	WTCG_270219_17	WTCG_270219_14	WTCG_270219_41	WTCG_270219_42	WTCG_270219_30	WTCG_270219_27	WTCG_270219_32	WTCG_270219_15	WTCG_270219_13	WTCG_270219_33	WTCG_270219_37	WTCG_270219_2	WTCG_270219_12	WTCG_270219_9	WTCG_270219_5	WTCG_270219_25	WTCG_270219_38	WTCG_270219_35	WTCG_270219_28	WTCG_270219_24	WTCG_270219_22	WTCG_270219_10	WTCG_270219_34	WTCG_270219_31	WTCG_270219_18	WTCG_270219_36	WTCG_270219_1	WTCG_270219_4	
Original reads	6030964	7990610	6003512	6038296	6972044	7589432	7128544	4683098	4935306	8568742	5930138	7321726	7949554	5573452	7169018	5496434	6999020	7910328	8569068	4636490	6136952	6188284	5441344	8174924	6602006	5103218	6332934	7419014	6478134	5658032	7229714	7325746	6465500	5942184	5528136	5208546	5583362	5713900	6024494	4616014	5617564	5280986	5599766	
Number Reads after host reads removal	108958	45972	261776	123056	612058	83604	179064	67268	109772	78466	191908	2156622	1814788	57944	81106	713030	2724684	206640	28122	538064	134970	85996	1340358	60642	489902	95246	165052	1769808	103340	554494	3268596	2194960	163640	208048	172958	80180	117006	283114	82692	607848	139938	228876	77252	
Percentage Reads after host reads removal	1	0	4	2	8	1	2	1	2	0	3	29	22	1	1	12	38	2	0	11	2	1	24	0	7	1	2	23	1	9	45	29	2	3	3	1	2	4	1	13	2	4	1	
Number Reads after adaptor trimming	108626	45160	261376	122688	610852	83014	178796	66970	109534	76918	191492	2153952	1811488	57634	80740	711954	2720548	205184	27556	537286	134664	85688	1338906	60240	489122	94914	164590	1766282	103058	553612	3264746	2186288	163232	207728	172570	79814	116604	282684	82488	607056	139644	228480	77022	
Percentage Reads after adaptor trimming	1	0	4	2	8	1	2	1	2	0	3	29	22	1	1	12	38	2	0	11	2	1	24	0	7	1	2	23	1	9	45	29	2	3	3	1	2	4	1	13	2	4	1	
Number Reads after deduplication	54322	22848	131410	64970	279202	34848	94224	35840	53136	44370	91748	1123898	867958	31370	38062	326164	1335244	83770	17990	290378	74908	44376	734578	31660	234360	48708	82934	825840	57888	246554	1787246	775894	85750	114840	85358	40966	59238	150470	44574	331850	72172	113294	44454	
Percentage Reads after deduplication	0	0	2	1	4	0	1	0	1	0	1	15	10	0	0	5	19	1	0	6	1	0	13	0	3	0	1	11	0	4	24	10	1	1	1	0	1	2	0	7	1	2	0	
Merlin coverage for original reads	58.2416	35.8483	151.217	65.0274	351.267	44.8333	100.578	36.4637	62.0694	13.4152	104.421	1284.47	1081.12	30.2575	44.7137	429.106	1634.96	105.816	12.3756	323.86	77.967	47.4945	770.479	32.3802	288.248	52.665	90.2466	1068.83	56.4526	312.76	1931.38	1229.48	92.5797	121.724	98.0511	50.2971	65.1546	165.552	45.3066	354.239	75.5735	128.565	40.3106	
Number Original reads mapping to Merlin	88446.0	24594.0	233815.0	101130.0	542860.0	54818.0	155087.0	53330.0	92932.0	9343.0	159983.0	2016617.0	1721758.0	41898.0	66065.0	661536.0	2581181.0	171195.0	9557.0	505077.0	122196.0	70608.0	1187977.0	44074.0	450551.0	79308.0	136627.0	1693703.0	86111.0	482104.0	3006772.0	2077919.0	142852.0	192298.0	150027.0	66403.0	98981.0	257170.0	67557.0	546506.0	114180.0	196303.0	58891.0	
Percentage Original reads mapping to Merlin	1.46	0.30	3.89	1.67	7.78	0.72	2.17	1.13	1.88	0.10	2.69	27.5	21.6	0.75	0.92	12.0	36.8	2.16	0.11	10.8	1.99	1.14	21.8	0.53	6.82	1.55	2.15	22.8	1.32	8.52	41.5	28.3	2.20	3.23	2.71	1.27	1.77	4.50	1.12	11.8	2.03	3.71	1.05	
Number of bases covered by original reads	223770.0	95895.0	227770.0	228865.0	226761.0	166094.0	227591.0	215456.0	219691.0	98700.0	225801.0	231407.0	226713.0	204456.0	211424.0	226316.0	227104.0	220584.0	99231.0	229282.0	231235.0	218636.0	226632.0	196974.0	229418.0	219394.0	223641.0	227546.0	224474.0	227029.0	227884.0	231145.0	227779.0	232110.0	225096.0	193046.0	223452.0	228900.0	219997.0	227484.0	222565.0	225082.0	213640.0	
Percentage of bases covered by original reads	0.94	0.40	0.96	0.97	0.96	0.70	0.96	0.91	0.93	0.41	0.95	0.98	0.96	0.86	0.89	0.96	0.96	0.93	0.42	0.97	0.98	0.92	0.96	0.83	0.97	0.93	0.94	0.96	0.95	0.96	0.96	0.98	0.96	0.98	0.95	0.81	0.94	0.97	0.93	0.96	0.94	0.95	0.90	
Merlin coverage for deduplicated reads	26.6073	14.4418	73.4212	31.5257	156.253	16.4855	49.4921	17.5843	27.8795	6.84158	47.7403	666.676	513.193	14.0374	19.053	193.761	801.294	40.5555	6.76641	173.189	40.587	22.3989	424.827	14.864	134.89	25.0329	43.2913	497.527	28.7014	137.584	1055.46	429.194	46.0602	63.9928	46.2914	22.9074	29.8174	85.5147	22.3892	191.561	36.8115	61.9224	20.7273	
Number of deduplicated reads mapping to Merlin	40310.0	9701.0	113231.0	48919.0	240734.0	19641.0	76087.0	25618.0	41629.0	4722.0	72989.0	1044051.0	812369.0	19384.0	27825.0	297936.0	1254012.0	64508.0	5101.0	269554.0	63467.0	33186.0	653128.0	20085.0	210149.0	37537.0	65298.0	783026.0	43652.0	211646.0	1637458.0	713190.0	70944.0	100847.0	70532.0	30206.0	45123.0	132527.0	33325.0	294859.0	55441.0	94215.0	30182.0	
