Locus	GC	GC1	GC2	GC3
UL147	46.25	50.0	36.25	52.5
US33A	57.4712643678	51.724137931	41.3793103448	79.3103448276
UL146	38.8429752066	45.4545454545	39.6694214876	31.4049586777
UL99	59.1623036649	60.2094240838	48.167539267	69.109947644
UL50	64.3274853801	64.1604010025	56.3909774436	72.4310776942
UL51	60.5485232068	71.5189873418	36.7088607595	73.417721519
UL52	59.3423019432	60.2391629297	44.0956651719	73.692077728
UL53	60.3890362511	55.1724137931	42.7055702918	83.2891246684
UL54	59.8551890587	60.1769911504	44.7304907482	74.6580852776
UL55	52.1292217327	51.1013215859	41.1894273128	64.0969162996
UL56	57.9318448884	59.9294947121	39.0129259694	74.8531139835
UL57	60.7335490831	61.6504854369	44.3365695793	76.213592233
UL111A	53.483992467	51.9774011299	42.3728813559	66.1016949153
US34A	50.7692307692	64.6153846154	36.9230769231	50.7692307692
RL5A	45.1388888889	46.875	45.8333333333	42.7083333333
UL86	58.3758813518	58.6433260394	41.1378555799	75.3464624362
UL105	61.6858237548	58.4117032393	43.1556948798	83.4900731452
UL104	64.9474689589	67.6217765043	43.2664756447	83.9541547278
UL85	61.3463626493	65.1465798046	36.8078175896	82.0846905537
UL100	53.9426523297	50.2688172043	34.6774193548	76.8817204301
UL103	60.2666666667	63.6	36.8	80.4
UL102	63.9588100686	67.9633867277	51.2585812357	72.6544622426
UL43	63.0503144654	61.5566037736	49.0566037736	78.5377358491
UL42	60.3174603175	54.7619047619	53.1746031746	73.0158730159
UL40	57.957957958	54.954954955	45.4954954955	73.4234234234
UL47	61.2127371274	63.4146341463	42.8861788618	77.337398374
UL46	60.7101947308	61.1683848797	42.2680412371	78.6941580756
UL45	60.4557148107	59.5369349504	46.3065049614	75.5237045204
UL44	58.2181259601	55.069124424	44.2396313364	75.3456221198
UL83	61.9217081851	61.0320284698	43.7722419929	80.9608540925
UL49	64.6818447169	71.4535901926	45.88441331	76.707530648
UL48	59.5450490633	67.1275646744	40.8563782337	70.6512042819
UL82	62.1428571429	64.6428571429	48.3928571429	73.3928571429
RL8A	60.4395604396	64.8351648352	45.0549450549	71.4285714286
UL80	65.0211565585	68.4062059238	58.2510578279	68.4062059238
UL41A	53.164556962	45.5696202532	37.9746835443	75.9493670886
UL119	53.3718689788	48.8439306358	43.3526011561	67.9190751445
UL116	54.6709129512	47.1337579618	52.2292993631	64.6496815287
UL117	63.6932707355	61.2676056338	50.7042253521	79.1079812207
UL114	65.0730411687	66.5338645418	46.6135458167	82.0717131474
UL115	62.7240143369	64.8745519713	47.6702508961	75.6272401434
UL112	63.698296837	63.9416058394	57.8102189781	69.3430656934
UL78	56.8672839506	55.0925925926	44.9074074074	70.6018518519
